8;"Nastąpi rozwój systemów eksperckich, zwłaszcza SWD w chmurze. ";;;;;;;;;
;"kod tezy:";;;;;;;;;
"8.1";"Ilość użytkowników telefonii mobilnej (w mln) korzystających z mobilnych SWD (świat)";;;;;;;;;
;"kod pytania:";"Q";;;;;;;;
;"jednostka:";"mln";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Dalszy rozwój do roku 2030";"Uwagi";"Stopień pewności"
"8.1";567;0,2;0,2;"n/a";20;30;50;100;"W późniejszych latach mobilne SWD będą bardzo popularne, ale nadal wiele krajów będzie zbyt słabo rozwiniętych, by mieć duży udział w użytkowaniu oraz mogą się pojawić alternatywne platformy do mobilnych.";"wyrażam tylko swój subiektywny pogląd"
"8.1";571;0,4;0,25;"n/a";1800;2500;4500;6000;;"wyrażam tylko swój subiektywny pogląd"
"8.1";579;0,7;0,2;"n/a";500;800;1010;1300;"Własne badania";"wyrażam tylko swój subiektywny pogląd"
"8.2";"Procentowy udział użytkowników telefonii mobilnej (w %) korzystających z mobilnych SWD (kraje OECD)";;;;;;;;;
;"kod pytania:";"P2";;;;;;;;
;"jednostka:";"procent";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Dalszy rozwój do roku 2030";"Uwagi";"Stopień pewności"
"8.2";68;0,5;0,2;"n/a";10;20;30;40;"W krajach rozwiniętych technologicznie popularność SWD wśród użytkowników wzrośnie bardzo dynamicznie.";"jestem raczej pewnien (pewna)"
"8.2";140;0,8;0,2;"n/a";30;40;50;60;;"wyrażam tylko swój subiektywny pogląd"
"8.2";248;0,4;0,2;"n/a";5;10;15;20;;"wyrażam tylko swój subiektywny pogląd"
"8.2";284;0,8;0,2;"n/a";10;15;25;35;"Wzrost liczby obszarów zastosowań mobilnych swd i ogólny rozwój mobilnych systemów informacyjnych spowoduje wzrost liczby użytkowników";"wyrażam tylko swój subiektywny pogląd"
"8.2";315;0,6;0,75;"n/a";60;70;80;90;"Nie jestem specjalistą w dziedzinie telefonii mobilnej";"wyrażam tylko swój subiektywny pogląd"
"8.2";344;1;0,5;"n/a";5;10;15;20;;"wyrażam tylko swój subiektywny pogląd"
"8.2";347;0,5;0,2;"n/a";20;50;80;90;"""Ze względu na dużą konkurencję na rynku urządzeń mobilnych SWD będą wbudowane w najnowsze urządzenia, co spowoduje dynamiczny wzrost użytkowników mobilnych SWD""";"z dużym prawdopodobieństwem"
"8.2";353;0,5;0,2;"n/a";10;30;45;65;;"wyrażam tylko swój subiektywny pogląd"
"8.2";354;0,5;0,2;"n/a";5;15;30;55;"z powodu wyższej jakości posiadanych urządzeń procent posiadanych mobilnych SWD będzie wyższy jednak osoby starsze które nie posiadają nowych sprzętów nie będą ich stosowały albo nie posiadają urządzeń mobilnych wcale";"wyrażam tylko swój subiektywny pogląd"
"8.2";361;0,6;0,2;"n/a";80;80;85;80;;"wyrażam tylko swój subiektywny pogląd"
"8.2";363;0,5;0,2;"n/a";4;5;5;10;;"wyrażam tylko swój subiektywny pogląd"
"8.2";364;0,6;0,2;"n/a";5;25;45;60;"oszacowanie własne na podstawie ogólnej wiedzy";"wyrażam tylko swój subiektywny pogląd"
"8.2";367;0,7;0,2;"n/a";10;15;20;20;"opinia własna";"wyrażam tylko swój subiektywny pogląd"
"8.2";398;0,1;0,2;"n/a";5;10;15;15;;"wyrażam tylko swój subiektywny pogląd"
"8.2";407;0,5;0,2;"n/a";30;30;30;30;"Prawdopodobnie największymi odbiorcami tego typu rozwiązań będą amerykanie oraz rynki silnie rozwijające się (Azja) dlatego przewiduję, że udział krajów OECD będzie stosunkowo niewielki";"wyrażam tylko swój subiektywny pogląd"
"8.2";413;0,5;0,2;"n/a";25;25;25;30;"Myślę, że użytkownicy smartfonu dość nieświadomie ale jednak już korzystają z SWD, a ta liczba penie będzie wzrastać.";"wyrażam tylko swój subiektywny pogląd"
"8.2";415;0,5;0,2;"n/a";5;10;20;25;"W krajach wysoce rozwiniętych sytuacja przedstawia się lepiej";"wyrażam tylko swój subiektywny pogląd"
"8.2";416;0,9;0,2;"n/a";5;20;40;55;"Wydaje mi się, że sytuacja w krajach OECD mniej więcej odzwierciedla sytuację na świecie.";"wyrażam tylko swój subiektywny pogląd"
"8.2";417;0,01;0,2;"n/a";20;15;10;15;;"wyrażam tylko swój subiektywny pogląd"
"8.2";418;0,5;0,2;"n/a";40;45;50;55;"SWD na urządzenia mobilne są dość popularne w obecnych czasach. Moim zdaniem ten trend będzie się utrzymywał i ich popularność będzie nieznacznie wzrastać.";"wyrażam tylko swój subiektywny pogląd"
"8.2";421;0,5;0,2;"n/a";1;5;15;35;"Przypuszczalnie procent tych osób będzie początkowo niewielki, lecz wraz z upływem lat będzie rósł. Sądzę, że w roku 2030 osiągnie on poziom około 1/3 wszystkich użytkowników telefonii mobilnej.";"wyrażam tylko swój subiektywny pogląd"
"8.2";423;0,6;0,2;"n/a";5;10;10;15;"Jak w punkcie 8.1";"wyrażam tylko swój subiektywny pogląd"
"8.2";452;0,5;0,2;"n/a";1;10;20;30;"Podtrzymując powyższe wyjaśnienia, praz z uwzględnienie poziomu życia (dochód na członka rodziny), a co za tym idzie powszechności mobilnych SWD.";"jestem raczej pewnien (pewna)"
"8.2";462;0,5;0,4;"n/a";10;15;15;25;"W przyszłości systemy SWD mogą zyskać coraz większą popularność, zwiększy to udział procentowy użytkowników wykorzystujących mobilne SWD.";"wyrażam tylko swój subiektywny pogląd"
"8.2";465;0,5;0,2;"n/a";4;10;15;20;"Liczba użytkowników telefonii mobilnej jest tak duża, użytkownicy SWD są jedynie kroplą w morzu. Odsetek ten jest więc mały. Mobilne SWD będą coraz popularniejsze, dlatego i procentowy udział będzie wzrastał.";"wyrażam tylko swój subiektywny pogląd"
"8.2";494;0,8;0,5;"n/a";20;25;30;40;"Rynek mobilnych aplikacji opartych o SWD ma największą szansę rozwoju w dziedzinach typu turystyka, e-commerce czy różnego rodzaju usługi. We wskazanych obszarach mamy do czynienia z podejmowaniem decyzji, gdzie użytkownik poszukuje najlepszego dla siebie rozwiązania w zależności od zadanych kryteriów. W związku z tym wydaje się naturalnym aby wykorzystać komputer do wspomagania tego procesu. Wzrost użytkowników takich aplikacji zależy o zasobów wiedzy jaką będą one miały w poszczególnych obszarach, a więc trafności podpowiadanych rozwiązań. Dodatkowo na wzrost będzie mieć wpływ liczba producentów telefonów, którzy będą umożliwiali wykorzystanie aplikacji mobile SWD w produkowanych modelach.";"wyrażam tylko swój subiektywny pogląd"
"8.2";506;0,7;0,2;"n/a";3;5;10;15;"mhealthsummit.org";"wyrażam tylko swój subiektywny pogląd"
"8.2";512;0,5;0,2;"n/a";15;50;60;70;"Rozwój urządzeń mobilnych jest tak szybki, że ciężko będzie dzielić użytkowników na korzystających z urządzeń mobilnych i ze zwykłych - różnić się będzie tylko sposób dostępu.";"wyrażam tylko swój subiektywny pogląd"
"8.2";513;0,5;0,2;"n/a";30;50;80;90;"Obecnie szeroko wykorzystuje się aplikacje takie jak Siri, które w pewnym sensie wspomagają decyzje np. wyboru restauracji w okolicy";"wyrażam tylko swój subiektywny pogląd"
"8.2";514;0,5;0,2;"n/a";2;10;20;50;"Początkowa niechęć związana z ceną produktu z czasem ustąpi na rzecz wygody i jakości";"jestem raczej pewnien (pewna)"
"8.2";517;0,5;0,2;"n/a";50;70;80;90;"jw";"wyrażam tylko swój subiektywny pogląd"
"8.2";520;0,5;0,2;"n/a";1;2;3;5;;"wyrażam tylko swój subiektywny pogląd"
"8.2";523;0,4;0,75;"n/a";5;5;10;15;"eurostat, computerworld";"wyrażam tylko swój subiektywny pogląd"
"8.2";524;0,2;0,2;"n/a";10;10;10;10;"Opinia własna";"wyrażam tylko swój subiektywny pogląd"
"8.2";547;0,1;0,2;"n/a";10;15;25;35;"Wzrost liczby obszarów zastosowań mobilnych swd i ogólny rozwój mobilnych systemów informacyjnych spowoduje wzrost liczby użytkowników.";"wyrażam tylko swój subiektywny pogląd"
"8.2";548;0,1;0,2;"n/a";15;55;75;90;"W krajach rozwiniętych technologicznie popularność SWD wśród użytkowników wzrośnie bardzo dynamicznie.";"z dużym prawdopodobieństwem"
"8.2";549;0,1;0,75;"n/a";5;5;15;25;"Kraje wchodzące w skład OECD będą zwiększać użycie SWD, choć w każdym kraju będzie to całkiem inna liczba. Te bardziej rozwinięte szybciej wprowadzą SWD do systemów mobilnych swoich użytkowników.";"wyrażam tylko swój subiektywny pogląd"
"8.2";550;0,1;0,2;"n/a";10;65;75;80;"SWD notuje silny wzrost w sektorze telefonii mobilnej.";"jestem raczej pewnien (pewna)"
"8.2";551;0,1;0,2;"n/a";15;45;70;95;;"wyrażam tylko swój subiektywny pogląd"
"8.2";552;0,1;0,2;"n/a";3;5;10;15;"Liczba uzytkownikow SWD będzie wzrastać, wiec również uzytkownikow mobilnych.";"wyrażam tylko swój subiektywny pogląd"
"8.2";553;0,1;0,2;"n/a";1;15;20;15;;"jestem raczej pewnien (pewna)"
"8.2";554;0,1;0,2;"n/a";99;95;90;70;"Rynki krajów będą glownym miejscem ekspansji tych systemow. Z czasem z uwagi na zrównanie standardow SWD będzie rozpowszechniane w innych miejscach.";"z dużym prawdopodobieństwem"
"8.2";556;0,05;0,2;"n/a";2;4;5;10;"Coraz szerszy dostęp do internetu mobilnego oraz zwrost wydajności smartfonów.";"nie jestem pewien,ale chciałbym by tak było"
"8.2";558;0,1;0,2;"n/a";10;20;50;80;"SWD notuje silne wzrosty w sektorze telefonii mobilnej.";"wyrażam tylko swój subiektywny pogląd"
"8.2";564;0,1;0,2;"n/a";15;50;75;90;"W krajach rozwiniętych technologicznie popularność swd wśród użytkowników wzrośnie bardzo dynamicznie.";"jestem raczej pewnien (pewna)"
"8.2";565;0,05;0,2;"n/a";80;85;90;95;"Własne obserwacje";"wyrażam tylko swój subiektywny pogląd"
"8.2";566;0,2;0,2;"n/a";1;1;10;40;"Na początku zainteresowanie będzie znikome, wzrośnie wraz z rozwojem prac nad SWD";"wyrażam tylko swój subiektywny pogląd"
"8.2";567;0,2;0,2;"n/a";5;30;70;70;"Tu wartości są wyższe ze względu na wyższy poziom rozwinięcia tych krajów.";"wyrażam tylko swój subiektywny pogląd"
"8.2";571;0,4;0,25;"n/a";45;55;65;75;;"wyrażam tylko swój subiektywny pogląd"
"8.2";579;0,7;0,2;"n/a";3;4;5;10;"Własne analizy";"wyrażam tylko swój subiektywny pogląd"
"8.3";"Procentowy udział użytkowników telefonii mobilnej (w %) korzystających z mobilnych SWD (Polska)";;;;;;;;;
;"kod pytania:";"P";;;;;;;;
;"jednostka:";"procent";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Dalszy rozwój do roku 2030";"Uwagi";"Stopień pewności"
"8.3";68;0,5;0,2;"n/a";15;25;30;30;"Nie ma żadnych podstaw aby Polska miała odstawać od krajów OECD";"jestem raczej pewnien (pewna)"
"8.3";140;0,8;0,2;"n/a";25;30;45;55;;"wyrażam tylko swój subiektywny pogląd"
"8.3";248;0,4;0,2;"n/a";;2;;;;"wyrażam tylko swój subiektywny pogląd"
